"Label (Grouping)","St. Joseph County, Indiana!!Total!!Estimate","St. Joseph County, Indiana!!Male!!Estimate","St. Joseph County, Indiana!!Female!!Estimate","ZCTA5 46506!!Total!!Estimate","ZCTA5 46506!!Male!!Estimate","ZCTA5 46506!!Female!!Estimate","ZCTA5 46530!!Total!!Estimate","ZCTA5 46530!!Male!!Estimate","ZCTA5 46530!!Female!!Estimate","ZCTA5 46536!!Total!!Estimate","ZCTA5 46536!!Male!!Estimate","ZCTA5 46536!!Female!!Estimate","ZCTA5 46544!!Total!!Estimate","ZCTA5 46544!!Male!!Estimate","ZCTA5 46544!!Female!!Estimate","ZCTA5 46545!!Total!!Estimate","ZCTA5 46545!!Male!!Estimate","ZCTA5 46545!!Female!!Estimate","ZCTA5 46550!!Total!!Estimate","ZCTA5 46550!!Male!!Estimate","ZCTA5 46550!!Female!!Estimate","ZCTA5 46552!!Total!!Estimate","ZCTA5 46552!!Male!!Estimate","ZCTA5 46552!!Female!!Estimate","ZCTA5 46554!!Total!!Estimate","ZCTA5 46554!!Male!!Estimate","ZCTA5 46554!!Female!!Estimate","ZCTA5 46556!!Total!!Estimate","ZCTA5 46556!!Male!!Estimate","ZCTA5 46556!!Female!!Estimate","ZCTA5 46561!!Total!!Estimate","ZCTA5 46561!!Male!!Estimate","ZCTA5 46561!!Female!!Estimate","ZCTA5 46563!!Total!!Estimate","ZCTA5 46563!!Male!!Estimate","ZCTA5 46563!!Female!!Estimate","ZCTA5 46573!!Total!!Estimate","ZCTA5 46573!!Male!!Estimate","ZCTA5 46573!!Female!!Estimate","ZCTA5 46574!!Total!!Estimate","ZCTA5 46574!!Male!!Estimate","ZCTA5 46574!!Female!!Estimate","ZCTA5 46595!!Total!!Estimate","ZCTA5 46595!!Male!!Estimate","ZCTA5 46595!!Female!!Estimate","ZCTA5 46601!!Total!!Estimate","ZCTA5 46601!!Male!!Estimate","ZCTA5 46601!!Female!!Estimate","ZCTA5 46613!!Total!!Estimate","ZCTA5 46613!!Male!!Estimate","ZCTA5 46613!!Female!!Estimate","ZCTA5 46614!!Total!!Estimate","ZCTA5 46614!!Male!!Estimate","ZCTA5 46614!!Female!!Estimate","ZCTA5 46615!!Total!!Estimate","ZCTA5 46615!!Male!!Estimate","ZCTA5 46615!!Female!!Estimate","ZCTA5 46616!!Total!!Estimate","ZCTA5 46616!!Male!!Estimate","ZCTA5 46616!!Female!!Estimate","ZCTA5 46617!!Total!!Estimate","ZCTA5 46617!!Male!!Estimate","ZCTA5 46617!!Female!!Estimate","ZCTA5 46619!!Total!!Estimate","ZCTA5 46619!!Male!!Estimate","ZCTA5 46619!!Female!!Estimate","ZCTA5 46624!!Total!!Estimate","ZCTA5 46624!!Male!!Estimate","ZCTA5 46624!!Female!!Estimate","ZCTA5 46628!!Total!!Estimate","ZCTA5 46628!!Male!!Estimate","ZCTA5 46628!!Female!!Estimate","ZCTA5 46635!!Total!!Estimate","ZCTA5 46635!!Male!!Estimate","ZCTA5 46635!!Female!!Estimate","ZCTA5 46637!!Total!!Estimate","ZCTA5 46637!!Male!!Estimate","ZCTA5 46637!!Female!!Estimate"
"    Some other race alone","4,393","2,437","1,956","43","30","13","90","52","38","0","0","0","186","93","93","357","242","115","204","48","156","4","4","0","1","1","0","3","3","0","125","75","50","718","474","244","89","79","10","42","34","8","0","0","0","91","82","9","459","230","229","200","131","69","340","159","181","50","36","14","229","147","82","1,704","858","846","0","0","0","429","263","166","11","11","0","130","58","72"
"        High school graduate or higher","3,282","1,784","1,498","17","16","1","90","52","38","0","0","0","180","87","93","314","204","110","172","17","155","4","4","0","1","1","0","3","3","0","125","75","50","454","385","69","14","4","10","42","34","8","0","0","0","60","60","0","263","120","143","200","131","69","275","115","160","38","24","14","224","147","77","1,121","520","601","0","0","0","267","188","79","11","11","0","122","50","72"
"        Bachelor's degree or higher","670","277","393","0","0","0","55","33","22","0","0","0","0","0","0","133","57","76","0","0","0","0","0","0","0","0","0","0","0","0","12","6","6","15","15","0","4","4","0","11","11","0","0","0","0","17","17","0","8","8","0","63","52","11","12","12","0","0","0","0","81","4","77","186","14","172","0","0","0","21","21","0","0","0","0","71","42","29"
"    Two or more races","8,383","4,409","3,974","179","86","93","781","486","295","50","0","50","731","509","222","815","400","415","144","120","24","84","23","61","54","9","45","29","29","0","247","112","135","381","146","235","39","17","22","154","68","86","0","0","0","145","89","56","593","356","237","1,062","475","587","418","229","189","348","231","117","331","150","181","1,616","627","989","0","0","0","809","502","307","83","53","30","255","162","93"
"        High school graduate or higher","7,203","3,785","3,418","110","17","93","772","484","288","50","0","50","702","503","199","734","333","401","142","120","22","75","23","52","52","7","45","29","29","0","242","107","135","288","89","199","39","17","22","132","46","86","0","0","0","106","69","37","436","269","167","983","447","536","314","125","189","346","229","117","275","144","131","1,203","407","796","0","0","0","644","446","198","68","43","25","234","156","78"
"        Bachelor's degree or higher","2,550","1,256","1,294","78","0","78","495","264","231","0","0","0","292","225","67","282","104","178","32","23","9","20","16","4","19","0","19","29","29","0","95","27","68","79","0","79","3","0","3","60","36","24","0","0","0","24","9","15","56","31","25","345","116","229","147","73","74","239","174","65","137","63","74","111","15","96","0","0","0","137","48","89","35","12","23","129","99","30"
"    Hispanic or Latino Origin","12,226","6,421","5,805","455","201","254","540","231","309","7","0","7","524","344","180","1,023","510","513","555","270","285","178","94","84","30","7","23","53","52","1","346","163","183","2,014","1,232","782","128","91","37","232","115","117","0","0","0","175","140","35","1,185","604","581","1,167","548","619","637","366","271","422","293","129","373","181","192","4,259","2,039","2,220","0","0","0","1,148","723","425","58","37","21","241","149","92"
"        High school graduate or higher","9,446","4,777","4,669","209","49","160","537","231","306","7","0","7","498","318","180","926","432","494","342","141","201","89","34","55","30","7","23","53","52","1","315","158","157","1,305","863","442","38","16","22","177","60","117","0","0","0","120","94","26","822","405","417","1,080","526","554","483","218","265","408","279","129","356","173","183","2,785","1,213","1,572","0","0","0","719","476","243","42","26","16","227","135","92"
"        Bachelor's degree or higher","2,976","1,334","1,642","126","26","100","387","178","209","1","0","1","176","112","64","375","151","224","0","0","0","21","21","0","0","0","0","29","28","1","78","20","58","335","268","67","4","4","0","50","38","12","0","0","0","42","22","20","87","62","25","421","150","271","157","71","86","231","168","63","229","79","150","421","72","349","0","0","0","135","76","59","26","12","14","157","109","48"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
