"Label (Grouping)","St. Joseph County, Indiana!!Total!!Estimate","St. Joseph County, Indiana!!Male!!Estimate","St. Joseph County, Indiana!!Female!!Estimate","ZCTA5 46506!!Total!!Estimate","ZCTA5 46506!!Male!!Estimate","ZCTA5 46506!!Female!!Estimate","ZCTA5 46530!!Total!!Estimate","ZCTA5 46530!!Male!!Estimate","ZCTA5 46530!!Female!!Estimate","ZCTA5 46536!!Total!!Estimate","ZCTA5 46536!!Male!!Estimate","ZCTA5 46536!!Female!!Estimate","ZCTA5 46544!!Total!!Estimate","ZCTA5 46544!!Male!!Estimate","ZCTA5 46544!!Female!!Estimate","ZCTA5 46545!!Total!!Estimate","ZCTA5 46545!!Male!!Estimate","ZCTA5 46545!!Female!!Estimate","ZCTA5 46550!!Total!!Estimate","ZCTA5 46550!!Male!!Estimate","ZCTA5 46550!!Female!!Estimate","ZCTA5 46552!!Total!!Estimate","ZCTA5 46552!!Male!!Estimate","ZCTA5 46552!!Female!!Estimate","ZCTA5 46554!!Total!!Estimate","ZCTA5 46554!!Male!!Estimate","ZCTA5 46554!!Female!!Estimate","ZCTA5 46556!!Total!!Estimate","ZCTA5 46556!!Male!!Estimate","ZCTA5 46556!!Female!!Estimate","ZCTA5 46561!!Total!!Estimate","ZCTA5 46561!!Male!!Estimate","ZCTA5 46561!!Female!!Estimate","ZCTA5 46563!!Total!!Estimate","ZCTA5 46563!!Male!!Estimate","ZCTA5 46563!!Female!!Estimate","ZCTA5 46573!!Total!!Estimate","ZCTA5 46573!!Male!!Estimate","ZCTA5 46573!!Female!!Estimate","ZCTA5 46574!!Total!!Estimate","ZCTA5 46574!!Male!!Estimate","ZCTA5 46574!!Female!!Estimate","ZCTA5 46595!!Total!!Estimate","ZCTA5 46595!!Male!!Estimate","ZCTA5 46595!!Female!!Estimate","ZCTA5 46601!!Total!!Estimate","ZCTA5 46601!!Male!!Estimate","ZCTA5 46601!!Female!!Estimate","ZCTA5 46613!!Total!!Estimate","ZCTA5 46613!!Male!!Estimate","ZCTA5 46613!!Female!!Estimate","ZCTA5 46614!!Total!!Estimate","ZCTA5 46614!!Male!!Estimate","ZCTA5 46614!!Female!!Estimate","ZCTA5 46615!!Total!!Estimate","ZCTA5 46615!!Male!!Estimate","ZCTA5 46615!!Female!!Estimate","ZCTA5 46616!!Total!!Estimate","ZCTA5 46616!!Male!!Estimate","ZCTA5 46616!!Female!!Estimate","ZCTA5 46617!!Total!!Estimate","ZCTA5 46617!!Male!!Estimate","ZCTA5 46617!!Female!!Estimate","ZCTA5 46619!!Total!!Estimate","ZCTA5 46619!!Male!!Estimate","ZCTA5 46619!!Female!!Estimate","ZCTA5 46624!!Total!!Estimate","ZCTA5 46624!!Male!!Estimate","ZCTA5 46624!!Female!!Estimate","ZCTA5 46628!!Total!!Estimate","ZCTA5 46628!!Male!!Estimate","ZCTA5 46628!!Female!!Estimate","ZCTA5 46635!!Total!!Estimate","ZCTA5 46635!!Male!!Estimate","ZCTA5 46635!!Female!!Estimate","ZCTA5 46637!!Total!!Estimate","ZCTA5 46637!!Male!!Estimate","ZCTA5 46637!!Female!!Estimate"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","31,651","15,346","16,305","773","359","414","2,272","1,350","922","214","85","129","2,407","1,280","1,127","3,333","1,505","1,828","1,209","599","610","430","255","175","298","149","149","7,257","3,179","4,078","1,167","686","481","1,962","945","1,017","304","156","148","761","341","420","26","12","14","326","161","165","1,555","669","886","2,328","1,074","1,254","1,606","828","778","578","221","357","1,787","996","791","1,763","940","823","0","0","0","2,090","964","1,126","466","132","334","1,956","1,091","865"
"        Less than high school graduate","2,781","1,580","1,201","256","94","162","323","225","98","26","5","21","200","113","87","164","111","53","496","219","277","169","115","54","24","24","0","0","0","0","220","123","97","434","229","205","102","18","84","130","45","85","0","0","0","25","18","7","170","55","115","363","225","138","201","138","63","48","10","38","167","92","75","293","204","89","0","0","0","294","185","109","202","9","193","114","31","83"
"        High school graduate (includes equivalency)","11,312","6,063","5,249","263","192","71","855","564","291","113","58","55","1,222","788","434","1,535","819","716","292","177","115","158","88","70","141","55","86","977","337","640","390","266","124","920","369","551","74","54","20","407","235","172","26","12","14","166","82","84","551","309","242","924","443","481","560","355","205","280","82","198","595","321","274","760","502","258","0","0","0","1,148","435","713","199","110","89","566","373","193"
"        Some college or associate's degree","13,760","6,037","7,723","240","73","167","859","449","410","46","22","24","735","308","427","1,126","351","775","290","182","108","89","38","51","103","52","51","6,052","2,690","3,362","375","225","150","434","248","186","97","62","35","200","54","146","0","0","0","63","33","30","720","284","436","688","315","373","463","182","281","137","84","53","446","268","178","613","161","452","0","0","0","507","284","223","55","13","42","782","427","355"
"        Bachelor's degree or higher","3,798","1,666","2,132","14","0","14","235","112","123","29","0","29","250","71","179","508","224","284","131","21","110","14","14","0","30","18","12","228","152","76","182","72","110","174","99","75","31","22","9","24","7","17","0","0","0","72","28","44","114","21","93","353","91","262","382","153","229","113","45","68","579","315","264","97","73","24","0","0","0","141","60","81","10","0","10","494","260","234"
"    Population 25 years and over","177,621","85,726","91,895","6,667","3,221","3,446","21,020","10,011","11,009","2,144","1,064","1,080","21,271","10,873","10,398","18,116","8,619","9,497","7,931","3,999","3,932","4,577","2,146","2,431","3,051","1,510","1,541","589","442","147","9,721","4,812","4,909","15,923","7,996","7,927","2,602","1,282","1,320","5,217","2,683","2,534","24","12","12","3,589","1,960","1,629","6,487","3,179","3,308","20,321","9,806","10,515","9,472","4,369","5,103","3,779","1,930","1,849","6,888","3,326","3,562","13,688","6,313","7,375","48","23","25","18,123","8,271","9,852","4,756","2,177","2,579","11,516","5,669","5,847"
"        Less than 9th grade","4,371","2,432","1,939","679","314","365","186","67","119","57","42","15","348","284","64","340","236","104","1,356","796","560","150","76","74","29","11","18","0","0","0","234","133","101","716","281","435","147","85","62","79","33","46","0","0","0","130","63","67","401","170","231","364","241","123","278","171","107","96","65","31","64","17","47","1,137","614","523","0","0","0","465","227","238","179","118","61","92","40","52"
"        9th to 12th grade, no diploma","11,849","6,322","5,527","623","378","245","327","195","132","115","70","45","2,054","1,153","901","1,135","553","582","675","386","289","171","94","77","122","58","64","10","5","5","690","513","177","1,452","825","627","222","178","44","324","218","106","0","0","0","518","305","213","723","436","287","1,018","561","457","783","586","197","284","171","113","140","40","100","1,613","742","871","0","0","0","1,472","655","817","382","94","288","552","309","243"
"        High school graduate (includes equivalency)","53,166","26,923","26,243","2,181","1,284","897","3,539","1,602","1,937","685","354","331","7,429","3,913","3,516","5,630","2,728","2,902","2,834","1,332","1,502","1,560","848","712","1,228","662","566","121","96","25","3,731","1,836","1,895","6,241","3,258","2,983","1,015","471","544","2,169","1,249","920","24","12","12","1,082","720","362","2,551","1,313","1,238","5,940","2,786","3,154","2,453","1,114","1,339","908","474","434","1,042","556","486","5,792","3,048","2,744","0","0","0","6,201","3,086","3,115","1,242","632","610","2,551","1,350","1,201"
"        Some college, no degree","35,682","16,761","18,921","1,173","513","660","3,566","1,557","2,009","520","188","332","4,298","2,197","2,101","4,056","1,845","2,211","1,118","535","583","875","454","421","521","292","229","74","11","63","1,991","929","1,062","3,042","1,723","1,319","307","127","180","1,157","504","653","0","0","0","804","453","351","1,312","601","711","4,285","2,173","2,112","1,987","869","1,118","745","330","415","1,051","572","479","2,449","974","1,475","8","8","0","3,671","1,668","2,003","1,097","503","594","2,805","1,276","1,529"
"        Associate's degree","15,790","6,722","9,068","488","196","292","1,810","765","1,045","338","191","147","1,975","829","1,146","1,467","657","810","1,065","519","546","627","206","421","291","143","148","4","4","0","852","438","414","1,313","579","734","255","82","173","541","247","294","0","0","0","210","67","143","629","265","364","2,044","1,020","1,024","734","272","462","423","170","253","385","136","249","891","236","655","0","0","0","1,720","709","1,011","379","145","234","1,118","500","618"
"        Bachelor's degree","34,030","15,661","18,369","1,036","345","691","6,589","3,191","3,398","238","111","127","3,466","1,798","1,668","3,319","1,395","1,924","580","220","360","871","354","517","644","288","356","111","92","19","1,466","654","812","1,967","868","1,099","480","252","228","608","287","321","0","0","0","503","241","262","587","288","299","3,910","1,828","2,082","2,022","863","1,159","438","193","245","2,310","998","1,312","1,301","489","812","7","0","7","3,167","1,361","1,806","972","479","493","2,200","1,132","1,068"
"        Graduate or professional degree","22,733","10,905","11,828","487","191","296","5,003","2,634","2,369","191","108","83","1,701","699","1,002","2,169","1,205","964","303","211","92","323","114","209","216","56","160","269","234","35","757","309","448","1,192","462","730","176","87","89","339","145","194","0","0","0","342","111","231","284","106","178","2,760","1,197","1,563","1,215","494","721","885","527","358","1,896","1,007","889","505","210","295","33","15","18","1,427","565","862","505","206","299","2,198","1,062","1,136"
"        High school graduate or higher","161,401","76,972","84,429","5,365","2,529","2,836","20,507","9,749","10,758","1,972","952","1,020","18,869","9,436","9,433","16,641","7,830","8,811","5,900","2,817","3,083","4,256","1,976","2,280","2,900","1,441","1,459","579","437","142","8,797","4,166","4,631","13,755","6,890","6,865","2,233","1,019","1,214","4,814","2,432","2,382","24","12","12","2,941","1,592","1,349","5,363","2,573","2,790","18,939","9,004","9,935","8,411","3,612","4,799","3,399","1,694","1,705","6,684","3,269","3,415","10,938","4,957","5,981","48","23","25","16,186","7,389","8,797","4,195","1,965","2,230","10,872","5,320","5,552"
"        Bachelor's degree or higher","56,763","26,566","30,197","1,523","536","987","11,592","5,825","5,767","429","219","210","5,167","2,497","2,670","5,488","2,600","2,888","883","431","452","1,194","468","726","860","344","516","380","326","54","2,223","963","1,260","3,159","1,330","1,829","656","339","317","947","432","515","0","0","0","845","352","493","871","394","477","6,670","3,025","3,645","3,237","1,357","1,880","1,323","720","603","4,206","2,005","2,201","1,806","699","1,107","40","15","25","4,594","1,926","2,668","1,477","685","792","4,398","2,194","2,204"
"    Population 25 to 34 years","36,060","18,139","17,921","1,273","739","534","3,091","1,383","1,708","309","94","215","5,680","3,395","2,285","3,918","2,147","1,771","2,204","1,086","1,118","567","304","263","574","307","267","152","125","27","1,180","537","643","2,648","1,424","1,224","518","266","252","794","389","405","0","0","0","779","454","325","1,748","872","876","3,802","1,969","1,833","2,005","830","1,175","1,081","539","542","1,687","718","969","2,298","1,026","1,272","0","0","0","3,915","1,798","2,117","671","307","364","2,837","1,432","1,405"
"        High school graduate or higher","33,172","16,472","16,700","1,044","579","465","3,048","1,370","1,678","297","87","210","5,090","2,878","2,212","3,697","2,044","1,653","1,539","746","793","498","281","217","529","277","252","152","125","27","1,144","527","617","2,199","1,102","1,097","453","216","237","739","360","379","0","0","0","606","345","261","1,511","731","780","3,608","1,839","1,769","1,839","730","1,109","976","483","493","1,632","718","914","1,935","883","1,052","0","0","0","3,697","1,686","2,011","628","278","350","2,533","1,297","1,236"
"        Bachelor's degree or higher","12,538","5,584","6,954","252","68","184","2,056","903","1,153","51","9","42","1,551","699","852","1,444","802","642","151","55","96","140","37","103","117","46","71","134","108","26","168","49","119","391","133","258","180","87","93","140","47","93","0","0","0","219","101","118","100","59","41","1,346","552","794","730","295","435","334","171","163","1,199","544","655","246","101","145","0","0","0","967","417","550","276","91","185","1,468","627","841"
"    Population 35 to 44 years","32,747","16,400","16,347","1,363","634","729","4,388","2,310","2,078","277","135","142","3,480","1,878","1,602","3,565","1,779","1,786","1,305","731","574","971","460","511","387","217","170","31","12","19","2,105","1,109","996","2,769","1,381","1,388","488","244","244","779","459","320","0","0","0","715","416","299","1,442","642","800","3,325","1,535","1,790","2,096","848","1,248","641","368","273","1,168","574","594","2,863","1,388","1,475","0","0","0","3,003","1,485","1,518","837","394","443","1,855","1,069","786"
"        High school graduate or higher","29,680","14,616","15,064","1,024","489","535","4,367","2,289","2,078","258","131","127","3,053","1,631","1,422","3,334","1,653","1,681","956","475","481","923","416","507","360","201","159","31","12","19","1,759","775","984","2,264","1,121","1,143","376","132","244","694","374","320","0","0","0","636","349","287","1,215","502","713","3,244","1,489","1,755","1,833","629","1,204","542","306","236","1,124","560","564","2,186","993","1,193","0","0","0","2,471","1,267","1,204","717","351","366","1,766","1,020","746"
"        Bachelor's degree or higher","11,980","5,427","6,553","470","117","353","2,856","1,493","1,363","36","28","8","786","364","422","1,291","623","668","154","86","68","344","159","185","164","73","91","8","8","0","644","223","421","643","187","456","95","38","57","105","30","75","0","0","0","207","85","122","219","114","105","1,398","478","920","713","224","489","286","163","123","695","327","368","550","260","290","0","0","0","831","353","478","264","148","116","567","276","291"
"    Population 45 to 64 years","64,440","31,619","32,821","2,274","1,086","1,188","8,325","3,985","4,340","966","570","396","7,277","3,426","3,851","5,603","2,499","3,104","2,878","1,389","1,489","1,752","874","878","1,370","694","676","112","103","9","4,248","2,061","2,187","6,252","3,402","2,850","953","474","479","2,095","1,049","1,046","24","12","12","1,349","737","612","2,345","1,240","1,105","7,010","3,513","3,497","3,575","1,926","1,649","1,301","637","664","1,992","1,137","855","5,344","2,545","2,799","0","0","0","7,157","3,259","3,898","1,610","827","783","3,917","1,926","1,991"
"        High school graduate or higher","58,680","28,496","30,184","1,777","813","964","8,087","3,865","4,222","879","497","382","6,439","3,024","3,415","5,237","2,288","2,949","2,186","1,007","1,179","1,619","807","812","1,349","691","658","107","98","9","4,094","1,978","2,116","5,480","2,999","2,481","913","439","474","1,965","967","998","24","12","12","1,068","600","468","1,895","1,005","890","6,586","3,278","3,308","3,076","1,567","1,509","1,177","537","640","1,944","1,105","839","4,167","1,962","2,205","0","0","0","6,434","2,861","3,573","1,422","762","660","3,765","1,811","1,954"
"        Bachelor's degree or higher","19,671","9,258","10,413","536","217","319","4,612","2,230","2,382","249","134","115","1,744","896","848","1,474","631","843","389","219","170","409","159","250","409","130","279","72","63","9","1,074","516","558","1,402","702","700","296","170","126","415","169","246","0","0","0","279","97","182","355","124","231","2,395","1,207","1,188","1,181","576","605","342","146","196","955","452","503","591","196","395","0","0","0","1,800","781","1,019","452","202","250","1,310","752","558"
"    Population 65 years and over","44,374","19,568","24,806","1,757","762","995","5,216","2,333","2,883","592","265","327","4,834","2,174","2,660","5,030","2,194","2,836","1,544","793","751","1,287","508","779","720","292","428","294","202","92","2,188","1,105","1,083","4,254","1,789","2,465","643","298","345","1,549","786","763","0","0","0","746","353","393","952","425","527","6,184","2,789","3,395","1,796","765","1,031","756","386","370","2,041","897","1,144","3,183","1,354","1,829","48","23","25","4,048","1,729","2,319","1,638","649","989","2,907","1,242","1,665"
"        High school graduate or higher","39,869","17,388","22,481","1,520","648","872","5,005","2,225","2,780","538","237","301","4,287","1,903","2,384","4,373","1,845","2,528","1,219","589","630","1,216","472","744","662","272","390","289","202","87","1,800","886","914","3,812","1,668","2,144","491","232","259","1,416","731","685","0","0","0","631","298","333","742","335","407","5,501","2,398","3,103","1,663","686","977","704","368","336","1,984","886","1,098","2,650","1,119","1,531","48","23","25","3,584","1,575","2,009","1,428","574","854","2,808","1,192","1,616"
"        Bachelor's degree or higher","12,574","6,297","6,277","265","134","131","2,068","1,199","869","93","48","45","1,086","538","548","1,279","544","735","189","71","118","301","113","188","170","95","75","166","147","19","337","175","162","723","308","415","85","44","41","287","186","101","0","0","0","140","69","71","197","97","100","1,531","788","743","613","262","351","361","240","121","1,357","682","675","419","142","277","40","15","25","996","375","621","485","244","241","1,053","539","514"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","139,580","67,492","72,088","6,256","3,049","3,207","18,139","8,564","9,575","2,085","1,061","1,024","18,396","9,019","9,377","15,111","7,002","8,109","7,424","3,766","3,658","4,473","2,119","2,354","2,982","1,489","1,493","472","355","117","9,064","4,467","4,597","14,540","7,285","7,255","2,389","1,170","1,219","4,997","2,581","2,416","24","12","12","2,138","1,186","952","3,824","1,861","1,963","16,363","8,134","8,229","7,378","3,293","4,085","2,510","1,220","1,290","4,976","2,381","2,595","7,419","3,603","3,816","48","23","25","12,201","5,981","6,220","4,262","1,978","2,284","9,118","4,424","4,694"
"        High school graduate or higher","129,554","61,994","67,560","5,096","2,487","2,609","17,678","8,319","9,359","1,916","952","964","16,542","7,922","8,620","13,877","6,368","7,509","5,479","2,634","2,845","4,161","1,949","2,212","2,833","1,422","1,411","467","355","112","8,182","3,857","4,325","12,735","6,331","6,404","2,116","989","1,127","4,623","2,352","2,271","24","12","12","1,862","1,012","850","3,386","1,574","1,812","15,313","7,494","7,819","6,750","2,878","3,872","2,367","1,135","1,232","4,895","2,341","2,554","6,289","3,088","3,201","48","23","25","11,238","5,500","5,738","3,813","1,819","1,994","8,876","4,290","4,586"
"        Bachelor's degree or higher","46,688","22,195","24,493","1,305","527","778","9,701","4,927","4,774","429","219","210","4,447","2,123","2,324","4,432","2,052","2,380","851","408","443","1,163","452","711","828","333","495","286","262","24","2,064","915","1,149","3,002","1,282","1,720","616","335","281","873","385","488","0","0","0","622","253","369","701","349","352","5,211","2,560","2,651","2,725","1,104","1,621","1,047","530","517","3,552","1,739","1,813","1,130","440","690","40","15","25","3,597","1,586","2,011","1,275","622","653","3,456","1,733","1,723"
"    White alone, not Hispanic or Latino","135,686","65,550","70,136","6,013","2,947","3,066","17,873","8,477","9,396","2,084","1,061","1,023","18,227","8,913","9,314","14,682","6,782","7,900","7,153","3,611","3,542","4,329","2,050","2,279","2,961","1,482","1,479","444","328","116","8,946","4,425","4,521","13,468","6,619","6,849","2,356","1,164","1,192","4,853","2,504","2,349","24","12","12","2,089","1,149","940","3,544","1,738","1,806","15,959","7,951","8,008","7,151","3,144","4,007","2,450","1,191","1,259","4,815","2,309","2,506","6,259","3,034","3,225","48","23","25","11,790","5,741","6,049","4,251","1,974","2,277","9,062","4,383","4,679"
"        High school graduate or higher","126,577","60,604","65,973","5,004","2,454","2,550","17,412","8,232","9,180","1,915","952","963","16,399","7,842","8,557","13,463","6,163","7,300","5,389","2,577","2,812","4,106","1,940","2,166","2,812","1,415","1,397","439","328","111","8,090","3,815","4,275","12,053","5,907","6,146","2,098","983","1,115","4,534","2,330","2,204","24","12","12","1,820","982","838","3,168","1,475","1,693","14,916","7,311","7,605","6,615","2,815","3,800","2,307","1,106","1,201","4,751","2,277","2,474","5,611","2,783","2,828","48","23","25","11,009","5,381","5,628","3,803","1,816","1,987","8,820","4,249","4,571"
"        Bachelor's degree or higher","45,595","21,752","23,843","1,279","501","778","9,528","4,854","4,674","428","219","209","4,379","2,100","2,279","4,356","2,046","2,310","851","408","443","1,158","447","711","828","333","495","279","256","23","2,027","915","1,112","2,708","1,029","1,679","616","335","281","873","385","488","0","0","0","598","241","357","658","306","352","5,063","2,511","2,552","2,654","1,073","1,581","994","508","486","3,441","1,686","1,755","989","410","579","40","15","25","3,521","1,533","1,988","1,268","622","646","3,404","1,696","1,708"
"    Black alone","20,481","9,131","11,350","11","9","2","552","211","341","6","3","3","1,739","1,126","613","1,107","585","522","57","46","11","2","0","2","11","11","0","31","31","0","206","121","85","132","65","67","11","4","7","0","0","0","0","0","0","1,154","589","565","1,433","628","805","2,352","943","1,409","935","510","425","834","415","419","1,131","527","604","2,761","1,114","1,647","0","0","0","4,398","1,442","2,956","323","71","252","1,557","838","719"
"        High school graduate or higher","16,955","7,348","9,607","11","9","2","549","211","338","3","0","3","1,264","824","440","1,016","539","477","46","46","0","2","0","2","11","11","0","26","26","0","175","90","85","126","59","67","7","0","7","0","0","0","0","0","0","877","437","440","1,155","545","610","2,099","809","1,290","806","406","400","635","293","342","1,069","516","553","2,154","835","1,319","0","0","0","3,754","1,174","2,580","226","28","198","1,185","638","547"
